Subsystem,Emissions
HaberBoschUnit,5661392.46
CoolingSubsystem,862.9
ASU,294842.5
HydrogenProduction,2190.2
SyngasCompression,1192621.65
HaberBoschUnit,5661392.46
CoolingSubsystem,862.9
ASU,517054.45
HydrogenProduction,1826.1
SyngasCompression,1514547.3
HaberBoschUnit,11454274.99
CoolingSubsystem,895.25
ASU,517054.45
HydrogenProduction,1826.1
SyngasCompression,1514547.3
HaberBoschUnit,11454274.99
CoolingSubsystem,895.25
ASU,178861.4
HydrogenProduction,2016.35
SyngasCompression,760114.05
HaberBoschUnit,7533636.99
CoolingSubsystem,837.65
ASU,178861.4
HydrogenProduction,2016.35
SyngasCompression,760114.05
HaberBoschUnit,7533636.99
CoolingSubsystem,837.65
ASU,241334.4
HydrogenProduction,3917.95
SyngasCompression,1204704.95
HaberBoschUnit,5971971.71
CoolingSubsystem,473.9
ASU,241334.4
HydrogenProduction,3917.95
SyngasCompression,1204704.95
HaberBoschUnit,5971971.71
CoolingSubsystem,473.9
ASU,521413.85
HydrogenProduction,3312.65
SyngasCompression,1772762.0
HaberBoschUnit,7776795.01
CoolingSubsystem,310.95
ASU,521413.85
HydrogenProduction,3312.65
SyngasCompression,1772762.0
HaberBoschUnit,7776795.01
CoolingSubsystem,310.95
ASU,292046.2
HydrogenProduction,2298.6
SyngasCompression,1154068.75
HaberBoschUnit,14095284.52
CoolingSubsystem,370.5
ASU,292046.2
HydrogenProduction,2298.6
SyngasCompression,1154068.75
HaberBoschUnit,14095284.52
CoolingSubsystem,370.5
ASU,490532.65
HydrogenProduction,2463.8
SyngasCompression,1735277.95
HaberBoschUnit,9906242.63
CoolingSubsystem,563.35
ASU,490532.65
HydrogenProduction,2463.8
SyngasCompression,1735277.95
HaberBoschUnit,9906242.63
CoolingSubsystem,563.35
ASU,279121.35
HydrogenProduction,3843.15
SyngasCompression,1903193.25
HaberBoschUnit,6646326.39
CoolingSubsystem,694.3
ASU,279121.35
HydrogenProduction,3843.15
SyngasCompression,1903193.25
HaberBoschUnit,6646326.39
CoolingSubsystem,694.3
ASU,381096.9
HydrogenProduction,2618.35
SyngasCompression,1544341.4
HaberBoschUnit,7246221.93
CoolingSubsystem,1035.0
ASU,381096.9
HydrogenProduction,2618.35
SyngasCompression,1544341.4
HaberBoschUnit,7246221.93
CoolingSubsystem,1035.0
ASU,511296.6
HydrogenProduction,2727.05
SyngasCompression,1308156.3
HaberBoschUnit,8243124.47
CoolingSubsystem,595.85
ASU,511296.6
HydrogenProduction,2727.05
SyngasCompression,1308156.3
HaberBoschUnit,8243124.47
CoolingSubsystem,595.85
ASU,459317.05
HydrogenProduction,1949.9
SyngasCompression,2154682.55
HaberBoschUnit,9649048.47
CoolingSubsystem,774.25
ASU,459317.05
HydrogenProduction,1949.9
SyngasCompression,2154682.55
HaberBoschUnit,9649048.47
CoolingSubsystem,774.25
ASU,336754.75
HydrogenProduction,1280.4
SyngasCompression,1882883.3
HaberBoschUnit,11800820.01
CoolingSubsystem,793.45
ASU,336754.75
HydrogenProduction,1280.4
SyngasCompression,1882883.3
HaberBoschUnit,11800820.01
CoolingSubsystem,793.45
